Date,Open,High,Low,Close,Volume,Adj Close
27/1/2016,735.890015,735.890015,713.450012,717.580017,2121400,717.580017
26/1/2016,735.210022,739.460022,726.969971,733.789978,1547000,733.789978
25/1/2016,743.840027,752.460022,732.5,733.619995,2267000,733.619995
22/1/2016,742,748.559998,740.5,745.460022,2357300,745.460022
21/1/2016,720.169983,737.669983,711.109985,726.669983,2596900,726.669983
20/1/2016,705.900024,726.950012,687.780029,718.559998,4122000,718.559998
19/1/2016,720.150024,725.349976,709.849976,719.080017,2436200,719.080017
15/1/2016,709.98999,724.159973,701.51001,710.48999,3777800,710.48999
14/1/2016,724.440002,739.890015,705,731.390015,2777900,731.390015
13/1/2016,749.340027,753,716.780029,719.570007,2586400,719.570007
12/1/2016,740.75,748.340027,736.429993,745.340027,2340800,745.340027
11/1/2016,731.950012,735.080017,719.559998,733.070007,2544800,733.070007
8/1/2016,747.799988,750.119995,728.919983,730.909973,2375300,730.909973
7/1/2016,746.48999,755.309998,735.280029,741,3156600,741
6/1/2016,750.369995,765.72998,748,759.330017,2410300,759.330017
5/1/2016,764.099976,769.200012,755.650024,761.530029,2260800,761.530029
4/1/2016,762.200012,762.200012,747.539978,759.440002,3369100,759.440002
31/12/2015,787.820007,788.330017,777.320007,778.01001,1629300,778.01001
30/12/2015,793.960022,796.460022,787.200012,790.299988,1428300,790.299988
29/12/2015,786.98999,798.690002,786.200012,793.960022,1921500,793.960022
28/12/2015,770,782.820007,767.72998,782.23999,1557800,782.23999
24/12/2015,768.52002,769.200012,764.390015,765.840027,520600,765.840027
23/12/2015,770.690002,771.900024,757.650024,768.51001,1529700,768.51001
22/12/2015,764.27002,770.340027,761.200012,767.130005,1816900,767.130005
21/12/2015,763.049988,766.349976,754.150024,760.799988,1742400,760.799988
18/12/2015,767.22998,774.140015,756.590027,756.849976,3389700,756.849976
17/12/2015,781.159973,781.590027,769.299988,769.830017,1825500,769.830017
16/12/2015,766.570007,781.5,757.049988,776.590027,2656000,776.590027
15/12/2015,767.789978,774.75,758,760.090027,2469300,760.090027
14/12/2015,751.26001,764.150024,736.26001,762.539978,2693200,762.539978
11/12/2015,749,757.440002,748.650024,750.419983,2159200,750.419983
10/12/2015,763.590027,766.070007,755,760.039978,1616600,760.039978
9/12/2015,771.099976,776.090027,752.01001,762.549988,2327500,762.549988
8/12/2015,764.5,778.650024,762.52002,775.140015,1554100,775.140015
7/12/2015,780.059998,781,766.719971,772.98999,1831300,772.98999
4/12/2015,769.710022,782.419983,765.51001,779.210022,2490000,779.210022
3/12/2015,780.559998,784.47998,762.450012,768.200012,2097500,768.200012
2/12/2015,785.25,793.049988,776.429993,777.849976,2343800,777.849976
1/12/2015,766.940002,785,765.950012,783.789978,2019900,783.789978
30/11/2015,771.869995,775.030029,761.119995,762.849976,1679300,762.849976
27/11/2015,769.159973,774,767,771.969971,721700,771.969971
25/11/2015,771.690002,773,766.530029,769.26001,1180600,769.26001
24/11/2015,772.960022,775.98999,758.109985,769.630005,2394000,769.630005
23/11/2015,777.469971,782.900024,773.51001,776.700012,1732400,776.700012
20/11/2015,769.299988,779.320007,764.099976,777,2773900,777
19/11/2015,759.780029,763.22998,757.22998,759.940002,1403900,759.940002
18/11/2015,749.570007,761.099976,747.390015,760.01001,1813300,760.01001
17/11/2015,752.469971,754.950012,744.049988,745.97998,1943200,745.97998
16/11/2015,740.210022,751.710022,734.330017,750.419983,2535200,750.419983
13/11/2015,754.039978,755.330017,739.469971,740.070007,2409400,740.070007
12/11/2015,760.179993,765.799988,755.859985,756.530029,1772600,756.530029
11/11/2015,762.380005,769.080017,759.75,765.25,2093300,765.25
10/11/2015,753.47998,760.599976,748.409973,758.26001,1489900,758.26001
9/11/2015,758.52002,763.299988,749.109985,754.77002,1776900,754.77002
6/11/2015,759.390015,763.02002,755.030029,761.599976,1677200,761.599976
5/11/2015,758.809998,766.349976,757.469971,760.669983,2274300,760.669983
4/11/2015,749.900024,759.900024,749.200012,755.309998,2092000,755.309998
3/11/2015,745.429993,751.700012,741.159973,748.820007,1815300,748.820007
2/11/2015,734.530029,748.179993,731.450012,747.73999,1995700,747.73999
30/10/2015,745.559998,746.309998,736.530029,737.390015,1999200,737.390015
29/10/2015,736.630005,746.789978,735.159973,744.849976,1826000,744.849976
28/10/2015,733,737.369995,727.27002,736.919983,1980200,736.919983
27/10/2015,726.570007,735.960022,724.140015,732.820007,1938900,732.820007
26/10/2015,720.02002,734.950012,720.02002,731.119995,2438800,731.119995
23/10/2015,750.059998,752.5,717.940002,719.330017,6336300,719.330017
22/10/2015,675.440002,688.049988,671.700012,681.140015,4431600,681.140015
21/10/2015,683.210022,684.900024,670.700012,671.799988,1597600,671.799988
20/10/2015,697.890015,698,673.679993,680,2613300,680
19/10/2015,694,700.23999,692.210022,699.950012,1508600,699.950012
16/10/2015,695.400024,696.219971,689.099976,695.320007,1815800,695.320007
15/10/2015,685.25,694.159973,684.390015,693.02002,2357800,693.02002
14/10/2015,683.72998,690.039978,678.900024,680.409973,1564600,680.409973
13/10/2015,674.26001,688.460022,673.109985,683.169983,2122300,683.169983
12/10/2015,669.190002,677.97998,667.23999,676.429993,1334200,676.429993
9/10/2015,667.48999,674.090027,662.359985,671.23999,1606200,671.23999
8/10/2015,669.450012,671.890015,654.48999,667,1965400,667
7/10/2015,677.400024,678.73999,658.109985,670,2217700,670
6/10/2015,669.349976,678.799988,663.080017,671.640015,2138700,671.640015
5/10/2015,661.599976,673.030029,655.869995,671.679993,1898000,671.679993
2/10/2015,638.01001,657,633.5,656.98999,2439400,656.98999
1/10/2015,637.940002,643.840027,631.119995,642,2125300,642
30/9/2015,631.830017,639.309998,629.150024,638.369995,2647700,638.369995
29/9/2015,625.5,634.679993,618.030029,622.609985,2106500,622.609985
28/9/2015,639.049988,642.849976,617.840027,624.25,2382300,624.25
25/9/2015,658.580017,658.580017,639.659973,640.150024,2424000,640.150024
24/9/2015,648.969971,656.77002,642.169983,654.909973,1934600,654.909973
23/9/2015,652.900024,660.280029,650.72998,653.289978,1458000,653.289978
22/9/2015,657.469971,658.820007,645.030029,653.200012,2718100,653.200012
21/9/2015,665.51001,669,658,666.97998,1954700,666.97998
18/9/2015,665.059998,669.840027,660.030029,660.919983,3627200,660.919983
17/9/2015,667.48999,681.98999,665,671.669983,2387600,671.669983
16/9/2015,665.549988,668.070007,662.200012,665.52002,1312600,665.52002
15/9/2015,656.710022,668.849976,653.340027,665.070007,1777300,665.070007
14/9/2015,655.630005,655.919983,649.5,652.469971,1497100,652.469971
11/9/2015,650.210022,655.309998,647.409973,655.299988,1744600,655.299988
10/9/2015,643.900024,654.900024,641.700012,651.080017,1392500,651.080017
9/9/2015,651.880005,657.359985,640.900024,643.409973,2048900,643.409973
8/9/2015,641,645.039978,632.900024,643.880005,1954600,643.880005
4/9/2015,629.700012,634.5,626.5,628.960022,2023900,628.960022
3/9/2015,647.929993,651.25,633.809998,637.049988,1728600,637.049988
2/9/2015,638,645.059998,630.640015,644.909973,1881500,644.909973
1/9/2015,633.809998,644.440002,625.059998,629.559998,2572900,629.559998
31/8/2015,654.340027,664.409973,646.349976,647.820007,1946800,647.820007
28/8/2015,665.76001,667,653.75,659.690002,1941800,659.690002
27/8/2015,671.98999,673.97998,651.099976,667.960022,2948700,667.960022
26/8/2015,643.099976,662.47998,630.369995,659.73999,4387000,659.73999
25/8/2015,646.469971,647,611.669983,612.469971,3571500,612.469971
24/8/2015,600.599976,627.679993,593.090027,618.109985,6489400,618.109985
21/8/2015,671.039978,672.890015,643.099976,644.030029,4594000,644.030029
20/8/2015,689.099976,696.159973,675.280029,679.47998,2889900,679.47998
19/8/2015,690.109985,700.200012,686.799988,694.039978,2504000,694.039978
18/8/2015,691.070007,695.76001,685.320007,688.72998,1385500,688.72998
17/8/2015,688.039978,694.73999,683.059998,694.109985,1234000,694.109985
14/8/2015,684.039978,692.26001,682.900024,689.369995,1379900,689.369995
13/8/2015,689.200012,694.030029,682.179993,686.51001,1817700,686.51001
12/8/2015,694.48999,696,680.51001,691.469971,2924900,691.469971
11/8/2015,699.580017,704,684.320007,690.299988,5494000,690.299988
10/8/2015,667.090027,671.619995,660.22998,663.140015,1722900,663.140015
7/8/2015,667.780029,668.799988,658.869995,664.390015,1377200,664.390015
6/8/2015,673.98999,674.75,660.72998,670.150024,2033000,670.150024
5/8/2015,665.75,679.909973,665.580017,673.289978,1822400,673.289978
4/8/2015,664.340027,668,660.51001,661.280029,1309400,661.280029
3/8/2015,657.659973,666.669983,657.659973,664.719971,1567400,664.719971
31/7/2015,664.700012,665,657.200012,657.5,1746100,657.5
30/7/2015,657.440002,668.049988,651.690002,664.559998,1980300,664.559998
29/7/2015,662.26001,663.330017,652.840027,661.429993,1837800,661.429993
28/7/2015,661.76001,664.099976,653.409973,659.659973,1718200,659.659973
27/7/2015,651.570007,667.070007,651.549988,658.27002,2919100,658.27002
24/7/2015,676.77002,677.789978,653.179993,654.77002,4131100,654.77002
23/7/2015,691.849976,696.070007,671.590027,674.72998,3811600,674.72998
22/7/2015,694.02002,713.330017,691.619995,695.099976,4155000,695.099976
21/7/2015,684.880005,705.599976,684.150024,695.349976,3780200,695.349976
20/7/2015,688.97998,697.799988,681.77002,692.840027,5121800,692.840027
17/7/2015,680,703,678,699.619995,12858100,699.619995
16/7/2015,589.5,604.5,587.919983,601.780029,5632100,601.780029
15/7/2015,583.73999,588.690002,580.210022,583.960022,2073300,583.960022
14/7/2015,574.5,589.710022,574.169983,584.179993,3741600,584.179993
13/7/2015,559.51001,572.849976,558.700012,571.72998,2089600,571.72998
10/7/2015,553.710022,559.289978,552,556.109985,2171800,556.109985
9/7/2015,548.650024,548.880005,544.619995,544.650024,1480000,544.650024
8/7/2015,545.599976,548.280029,541.200012,541.700012,1383100,541.700012
7/7/2015,547.429993,551,539.849976,550.030029,1678900,550.030029
6/7/2015,542.25,548.580017,542.099976,545.619995,1280700,545.619995
2/7/2015,544.73999,548,543.570007,547.340027,1406200,547.340027
1/7/2015,543.659973,545.809998,539.76001,543.299988,1538000,543.299988
30/6/2015,545.090027,545.900024,539.539978,540.039978,1725500,540.039978
29/6/2015,546.75,550.900024,540.23999,541.25,1887800,541.25
26/6/2015,559.710022,560,551.849976,553.059998,2183800,553.059998
25/6/2015,560.299988,563.140015,557.460022,557.950012,1334200,557.950012
24/6/2015,562.47998,562.640015,556.809998,558.570007,1446200,558.570007
23/6/2015,559.789978,564.900024,557.150024,563.390015,1569800,563.390015
22/6/2015,559.409973,565.609985,558.909973,559.679993,1737600,559.679993
19/6/2015,556.52002,557.909973,552.26001,557.52002,2964500,557.52002
18/6/2015,548,557.25,548,556.179993,2059600,556.179993
17/6/2015,545.419983,548.359985,541.809998,546.599976,1222000,546.599976
16/6/2015,544.47998,546.690002,541.570007,544.869995,1626300,544.869995
15/6/2015,542.72998,544.049988,539.210022,543,1357500,543
12/6/2015,547.150024,548.849976,545.630005,547.469971,1273400,547.469971
11/6/2015,554.48999,554.830017,549.169983,550.039978,1293600,550.039978
10/6/2015,545.700012,554.780029,545.109985,552.599976,1515800,552.599976
9/6/2015,543.419983,544.840027,538.849976,542.159973,1500800,542.159973
8/6/2015,549.609985,549.869995,542.950012,543.47998,1366800,543.47998
5/6/2015,552,553.330017,547.380005,549.530029,1219800,549.530029
4/6/2015,552.179993,555.960022,549.119995,551.690002,1343300,551.690002
